,Epochs,Accuracy,Loss
0,1,0.7452326468344775,0.804154912481109
1,2,0.8596491228070176,0.4120613296200819
2,3,0.8596491228070176,0.23536234808838197
3,4,0.9038901601830663,0.14946140480915843
4,5,0.9000762776506483,0.09624810468241204
